time,bits
2021-09-06 11:01:34,21396336
2021-09-06 11:02:03,5536392
2021-09-06 11:02:33,20564088
2021-09-06 11:03:03,11435704
2021-09-06 11:03:33,8962832
2021-09-06 11:04:03,4659360
2021-09-06 11:04:34,12434992
2021-09-06 11:05:03,16427320
2021-09-06 11:06:03,3271888
2021-09-06 11:06:34,11338952
2021-09-06 11:07:03,14552200
2021-09-06 11:07:34,11099840
2021-09-06 11:08:03,3399608
2021-09-06 11:08:33,10691920
2021-09-06 11:09:03,14034736
2021-09-06 11:09:34,22116024
2021-09-06 11:10:03,16611888
2021-09-06 11:10:34,13496792
2021-09-06 11:11:03,4494136
2021-09-06 11:11:34,15750432
2021-09-06 11:12:03,6231536
2021-09-06 11:12:34,7460776
2021-09-06 11:13:03,15972848
2021-09-06 11:13:34,15436904
2021-09-06 11:14:03,18009536
2021-09-06 11:14:33,9570568
2021-09-06 11:15:03,20256688
2021-09-06 11:15:33,22338240
2021-09-06 11:16:03,52030664
2021-09-06 11:16:34,18092536
2021-09-06 11:17:03,10292392
2021-09-06 11:17:34,1276384
2021-09-06 11:18:03,11457104
2021-09-06 11:18:34,2540192
2021-09-06 11:19:03,6548752
2021-09-06 11:19:34,15199008
2021-09-06 11:20:03,8651536
2021-09-06 11:20:33,8004544
2021-09-06 11:21:03,14581520
2021-09-06 11:21:34,4356992
2021-09-06 11:22:03,14156568
2021-09-06 11:22:34,3154344
2021-09-06 11:23:03,19353736
2021-09-06 11:23:34,13990168
2021-09-06 11:24:03,33463760
2021-09-06 11:24:34,4323392
2021-09-06 11:25:03,10604376
2021-09-06 11:25:33,15836544
2021-09-06 11:26:03,13727440
2021-09-06 11:26:33,19926352
2021-09-06 11:27:03,24196728
2021-09-06 11:27:33,20062072
2021-09-06 11:28:03,1719520
2021-09-06 11:28:34,9556360
2021-09-06 11:29:03,5697232
2021-09-06 11:29:34,13772552
2021-09-06 11:30:03,20824832
2021-09-06 11:30:33,3231256
2021-09-06 11:31:03,768216
2021-09-06 11:31:34,16064240
2021-09-06 11:32:03,5105352
2021-09-06 11:32:34,8096920
2021-09-06 11:33:03,11873272
2021-09-06 11:33:34,13702120
2021-09-06 11:34:03,6081248
2021-09-06 11:34:34,17089392
2021-09-06 11:35:03,7167688
2021-09-06 11:35:33,15638280
2021-09-06 11:36:03,24636736
2021-09-06 11:36:34,27947400
2021-09-06 11:37:03,9024464
2021-09-06 11:37:33,5842624
2021-09-06 11:38:03,31063896
2021-09-06 11:38:33,8559064
2021-09-06 11:39:03,20363928
2021-09-06 11:39:33,1451928
2021-09-06 11:40:03,6171848
2021-09-06 11:40:33,13593160
2021-09-06 11:41:03,12372896
2021-09-06 11:41:33,21353296
2021-09-06 11:42:03,11430704
2021-09-06 11:42:33,6885792
2021-09-06 11:43:03,6784496
2021-09-06 11:43:33,1907416
2021-09-06 11:44:03,5715728
2021-09-06 11:44:33,25333024
2021-09-06 11:45:03,48802080
2021-09-06 11:45:33,32862016
2021-09-06 11:46:03,55429784
2021-09-06 11:47:03,52004344
2021-09-06 11:47:33,45395024
2021-09-06 11:48:03,64853680
2021-09-06 11:48:33,28226968
2021-09-06 11:49:03,18002544
2021-09-06 11:49:33,7989144
2021-09-06 11:50:03,28028248
2021-09-06 11:50:34,18554416
2021-09-06 11:51:03,26986056
2021-09-06 11:51:33,13127840
2021-09-06 11:52:03,34591416
2021-09-06 11:52:33,18223376
2021-09-06 11:53:03,2159968
2021-09-06 11:53:33,17462592
2021-09-06 11:54:03,26748872
2021-09-06 11:54:33,20157872
2021-09-06 11:55:03,34760120
2021-09-06 11:55:33,28240328
2021-09-06 11:56:03,25241088
2021-09-06 11:56:33,20048376
2021-09-06 11:57:03,19369984
2021-09-06 11:57:33,11268520
2021-09-06 11:58:03,50219968
2021-09-06 11:58:33,41121752
2021-09-06 11:59:04,43077576
2021-09-06 11:59:33,26401712
2021-09-06 12:00:03,21689544
2021-09-06 12:00:34,33408552
2021-09-06 12:01:03,84422816
2021-09-06 12:01:33,69242616
2021-09-06 12:02:03,17689760
2021-09-06 12:02:33,29100592
2021-09-06 12:03:03,5114520
2021-09-06 12:03:33,5453144
2021-09-06 12:04:03,5192792
2021-09-06 12:04:33,8395328
2021-09-06 12:05:04,9240872
2021-09-06 12:05:34,16880664
2021-09-06 12:06:03,29028976
2021-09-06 12:06:33,19665960
2021-09-06 12:07:03,11103168
2021-09-06 12:07:33,5436648
2021-09-06 12:08:03,20174240
2021-09-06 12:08:33,20411552
2021-09-06 12:09:33,10737344
2021-09-06 12:10:03,31465008
2021-09-06 12:10:33,16768912
2021-09-06 12:11:03,37215376
2021-09-06 12:11:33,26891584
2021-09-06 12:12:03,31102856
2021-09-06 12:12:33,71417392
2021-09-06 12:13:04,31127168
2021-09-06 12:13:33,24030448
2021-09-06 12:14:03,22873696
2021-09-06 12:14:33,8122456
2021-09-06 12:15:03,19309864
2021-09-06 12:15:33,9510200
2021-09-06 12:16:03,11952560
2021-09-06 12:16:33,7255880
2021-09-06 12:17:03,2700056
2021-09-06 12:17:33,8982288
2021-09-06 12:18:03,20705048
2021-09-06 12:18:33,5269720
2021-09-06 12:19:03,2686208
2021-09-06 12:19:33,2449680
2021-09-06 12:20:03,2813000
2021-09-06 12:20:33,1570192
2021-09-06 12:21:03,4942144
2021-09-06 12:21:33,14743200
2021-09-06 12:22:03,15759856
2021-09-06 12:22:33,26035560
2021-09-06 12:23:03,43630416
2021-09-06 12:23:33,60499624
2021-09-06 12:24:03,33204424
2021-09-06 12:24:33,2773464
2021-09-06 12:25:03,709632
2021-09-06 12:25:33,2154376
2021-09-06 12:26:03,3604024
2021-09-06 12:26:33,18675032
2021-09-06 12:27:03,7208504
2021-09-06 12:27:33,37183624
2021-09-06 12:28:03,15590056
2021-09-06 12:28:33,30775440
2021-09-06 12:29:03,3916928
2021-09-06 12:29:33,135748200
2021-09-06 12:30:03,88480880
2021-09-06 12:30:33,95785520
2021-09-06 12:31:33,92565560
2021-09-06 12:32:03,90472664
2021-09-06 12:32:33,107308904
2021-09-06 12:33:03,89065528
2021-09-06 12:33:33,89523376
2021-09-06 12:34:03,61795496
2021-09-06 12:34:33,45068296
2021-09-06 12:35:03,70338280
2021-09-06 12:35:33,64095504
2021-09-06 12:36:03,82417680
2021-09-06 12:36:33,82459200
2021-09-06 12:37:03,51565632
2021-09-06 12:37:33,78908872
2021-09-06 12:38:03,24385480
2021-09-06 12:38:33,7014432
2021-09-06 12:39:03,10927144
2021-09-06 12:39:33,3759616
2021-09-06 12:40:03,7289072
2021-09-06 12:40:33,11962112
2021-09-06 12:41:03,3356016
2021-09-06 12:41:33,14463528
2021-09-06 12:42:03,7741016
2021-09-06 12:42:33,26588664
2021-09-06 12:43:33,8477880
2021-09-06 12:44:03,20219000
2021-09-06 12:44:33,13668616
2021-09-06 12:45:03,6526704
2021-09-06 12:45:33,17602232
2021-09-06 12:46:03,1278344
2021-09-06 12:46:33,7353952
2021-09-06 12:47:03,10835128
2021-09-06 12:47:33,12005024
2021-09-06 12:48:03,5472928
2021-09-06 12:48:33,10419320
