Data Hora,QtdBites
2021-09-03 00:39:03,706152
2021-09-03 00:39:33,594456
2021-09-03 00:40:03,540048
2021-09-03 00:40:33,3630984
2021-09-03 00:41:03,639944
2021-09-03 00:41:33,519528
2021-09-03 00:42:03,854600
2021-09-03 00:42:33,721672
2021-09-03 00:43:03,1401528
2021-09-03 00:43:33,632952
2021-09-03 00:44:03,656904
2021-09-03 00:44:33,3891800
2021-09-03 00:45:03,994048
2021-09-03 00:45:33,785672
2021-09-03 00:46:03,963752
2021-09-03 00:46:33,4125192
2021-09-03 00:47:03,983288
2021-09-03 00:47:33,1301648
2021-09-03 00:48:03,39145528
2021-09-03 00:48:33,734088
2021-09-03 00:49:03,94228592
2021-09-03 00:49:33,20539624
2021-09-03 00:50:03,1277416
2021-09-03 00:50:33,1225576
2021-09-03 00:51:03,1277584
2021-09-03 00:51:33,1518536
2021-09-03 00:52:03,895736
2021-09-03 00:52:33,649320
2021-09-03 00:53:04,30211248
2021-09-03 00:53:33,6538896
2021-09-03 00:54:03,37552784
2021-09-03 00:54:33,40896520
2021-09-03 00:55:03,34638008
2021-09-03 00:55:33,139923440
2021-09-03 00:56:03,45537008
2021-09-03 00:56:33,40582816
2021-09-03 00:57:03,29619192
2021-09-03 00:57:33,807520
2021-09-03 00:58:03,739744
2021-09-03 00:58:33,1151408
2021-09-03 00:59:03,1199464
2021-09-03 00:59:33,652840
2021-09-03 01:00:03,536792
2021-09-03 01:00:34,496800
2021-09-03 01:01:03,508480
2021-09-03 01:01:33,564304
2021-09-03 01:02:03,613344
2021-09-03 01:02:33,1092264
2021-09-03 01:03:03,1688064
2021-09-03 01:03:33,19703056
2021-09-03 01:04:03,16900216
2021-09-03 01:04:33,14860912
2021-09-03 01:05:03,13465744
2021-09-03 01:05:33,20630800
2021-09-03 01:06:04,23212872
2021-09-03 01:06:33,51056152
2021-09-03 01:07:03,40188976
2021-09-03 01:07:33,883248
2021-09-03 01:08:03,1459880
2021-09-03 01:08:33,649416
2021-09-03 01:09:03,530488
2021-09-03 01:09:33,637616
2021-09-03 01:10:03,721520
2021-09-03 01:10:33,950552
2021-09-03 01:11:03,756400
2021-09-03 01:11:33,1052600
2021-09-03 01:12:03,880672
2021-09-03 01:12:33,528288
2021-09-03 01:13:03,786960
2021-09-03 01:13:33,708184
2021-09-03 01:14:03,11147728
2021-09-03 01:14:33,941712
2021-09-03 01:15:03,770832
2021-09-03 01:15:33,894264
2021-09-03 01:16:03,866440
2021-09-03 01:16:33,679152
2021-09-03 01:17:03,609896
2021-09-03 01:17:33,6300408
2021-09-03 01:18:03,4211768
2021-09-03 01:18:33,1492560
2021-09-03 01:19:03,884984
2021-09-03 01:19:33,895216
2021-09-03 01:20:03,885128
2021-09-03 01:20:33,65510432
2021-09-03 01:21:03,22528536
2021-09-03 01:21:33,10487112
2021-09-03 01:22:03,7012416
2021-09-03 01:22:33,844280
2021-09-03 01:23:03,798464
2021-09-03 01:23:33,7195584
2021-09-03 01:24:03,42451832
2021-09-03 01:24:33,45248560
2021-09-03 01:25:33,46689944
2021-09-03 01:26:03,40461112
2021-09-03 01:26:33,866288
2021-09-03 01:27:03,985672
2021-09-03 01:27:33,728592
2021-09-03 01:28:03,6200928
2021-09-03 01:28:33,82769160
2021-09-03 01:29:03,9698136
2021-09-03 01:29:33,1687288
2021-09-03 01:30:03,4110624
2021-09-03 01:30:33,732992
2021-09-03 01:31:03,749424
2021-09-03 01:31:33,738216
2021-09-03 01:32:03,1004776
2021-09-03 01:32:33,785304
2021-09-03 01:33:03,994016
2021-09-03 01:33:33,730808
2021-09-03 01:34:03,714680
2021-09-03 01:34:33,744680
2021-09-03 01:35:03,656984
2021-09-03 01:35:33,1107176
2021-09-03 01:36:03,724112
2021-09-03 01:36:33,586104
2021-09-03 01:37:03,30599520
2021-09-03 01:37:33,103085288
2021-09-03 01:38:03,60404712
2021-09-03 01:38:33,16183512
2021-09-03 01:39:03,682520
2021-09-03 01:39:33,1011256
2021-09-03 01:40:03,2006872
2021-09-03 01:40:33,1558984
2021-09-03 01:41:03,1108512
2021-09-03 01:41:33,1048656
2021-09-03 01:42:03,1208416
2021-09-03 01:42:33,1215096
2021-09-03 01:43:03,665864
2021-09-03 01:43:33,713504
2021-09-03 01:44:03,633224
2021-09-03 01:44:33,701944
2021-09-03 01:45:03,1285024
2021-09-03 01:45:33,824096
2021-09-03 01:46:03,644136
2021-09-03 01:46:33,744056
2021-09-03 01:47:03,652160
2021-09-03 01:47:33,567736
2021-09-03 01:48:03,556984
2021-09-03 01:48:33,549736
2021-09-03 01:49:03,543504
2021-09-03 01:49:33,577496
2021-09-03 01:50:03,530424
2021-09-03 01:50:33,563376
2021-09-03 01:51:03,869472
2021-09-03 01:51:33,544496
2021-09-03 01:52:04,2824304
2021-09-03 01:52:33,33157216
2021-09-03 01:53:03,29503032
2021-09-03 01:53:33,92571240
2021-09-03 01:54:03,91211384
2021-09-03 01:54:33,19742128
2021-09-03 01:55:03,16417376
2021-09-03 01:55:33,527064
2021-09-03 01:56:03,31708616
2021-09-03 01:56:33,547552
2021-09-03 01:57:03,520464
2021-09-03 01:57:33,519080
2021-09-03 01:58:03,522392
2021-09-03 01:58:33,569672
2021-09-03 01:59:03,2302192
2021-09-03 01:59:33,557224
2021-09-03 02:00:03,545512
2021-09-03 02:00:35,508152
2021-09-03 02:01:03,666456
2021-09-03 02:01:33,513736
2021-09-03 02:02:03,527008
2021-09-03 02:02:33,544544
2021-09-03 02:03:04,22923904
2021-09-03 02:03:33,12874144
2021-09-03 02:04:03,28018312
2021-09-03 02:04:33,68472976
2021-09-03 02:05:03,12348944
2021-09-03 02:05:33,141617352
2021-09-03 02:06:03,55537352
2021-09-03 02:06:33,627120
2021-09-03 02:07:03,545496
2021-09-03 02:07:33,586488
2021-09-03 02:08:03,521024
2021-09-03 02:08:33,550904
2021-09-03 02:09:03,738704
2021-09-03 02:09:33,507400
2021-09-03 02:10:03,516848
2021-09-03 02:10:33,527136
