Data;Hora;NDeSerie;QtdBites
14-09-2021;18:13:33;1631654013;66515472
14-09-2021;18:13:03;1631653983;55815832
14-09-2021;18:12:33;1631653953;88885816
14-09-2021;18:12:03;1631653923;97329200
14-09-2021;18:11:33;1631653893;88018064
14-09-2021;18:10:33;1631653833;69281176
14-09-2021;18:10:03;1631653803;60374568
14-09-2021;18:09:33;1631653773;63640192
14-09-2021;18:09:03;1631653743;107733104
14-09-2021;18:08:33;1631653713;86400336
14-09-2021;18:08:03;1631653683;43077720
14-09-2021;18:07:33;1631653653;33057632
14-09-2021;18:07:03;1631653623;107885272
14-09-2021;18:06:33;1631653593;73779960
14-09-2021;18:06:03;1631653563;59863176
14-09-2021;18:05:34;1631653534;28279864
14-09-2021;18:05:03;1631653503;70555256
14-09-2021;18:04:33;1631653473;31479544
14-09-2021;18:04:03;1631653443;72844792
14-09-2021;18:03:33;1631653413;72443488
14-09-2021;18:03:04;1631653384;86489808
14-09-2021;18:02:03;1631653323;112691136
14-09-2021;18:01:33;1631653293;79281888
14-09-2021;18:01:03;1631653263;56501136
14-09-2021;18:00:34;1631653234;44997568
14-09-2021;18:00:03;1631653203;32379240
14-09-2021;17:59:33;1631653173;76285168
14-09-2021;17:59:03;1631653143;46148240
14-09-2021;17:58:33;1631653113;22243808
14-09-2021;17:58:03;1631653083;30428608
14-09-2021;17:57:33;1631653053;26626776
14-09-2021;17:57:03;1631653023;47003456
14-09-2021;17:56:33;1631652993;34414576
14-09-2021;17:56:03;1631652963;54617752
14-09-2021;17:55:33;1631652933;40173192
14-09-2021;17:55:03;1631652903;51122040
14-09-2021;17:54:33;1631652873;40146368
14-09-2021;17:54:03;1631652843;53814768
14-09-2021;17:53:33;1631652813;90920952
14-09-2021;17:53:03;1631652783;64456720
14-09-2021;17:52:03;1631652723;82495536
14-09-2021;17:51:33;1631652693;97052352
14-09-2021;17:51:03;1631652663;129975920
14-09-2021;17:50:33;1631652633;155692896
14-09-2021;17:50:03;1631652603;63396752
14-09-2021;17:49:33;1631652573;57955568
14-09-2021;17:49:03;1631652543;62348376
14-09-2021;17:48:33;1631652513;65406808
14-09-2021;17:48:03;1631652483;133575080
14-09-2021;17:47:33;1631652453;109716032
14-09-2021;17:47:03;1631652423;87458464
14-09-2021;17:46:33;1631652393;40077144
14-09-2021;17:45:34;1631652334;181186512
14-09-2021;17:45:03;1631652303;192967984
14-09-2021;17:44:33;1631652273;137479192
14-09-2021;17:44:03;1631652243;145376824
14-09-2021;17:43:33;1631652213;152393696
14-09-2021;17:43:03;1631652183;124083408
14-09-2021;17:42:03;1631652123;167943976
14-09-2021;17:41:33;1631652093;152327736
14-09-2021;17:41:03;1631652063;199790648
14-09-2021;17:40:33;1631652033;175098568
14-09-2021;17:40:03;1631652003;115985264
14-09-2021;17:39:33;1631651973;197696200
14-09-2021;17:38:33;1631651913;232791760
14-09-2021;17:38:03;1631651883;233994928
14-09-2021;17:37:33;1631651853;232075440
14-09-2021;17:37:03;1631651823;278492400
14-09-2021;17:36:03;1631651763;178469016
14-09-2021;17:35:33;1631651733;156044720
14-09-2021;17:35:03;1631651703;129698032
14-09-2021;17:34:33;1631651673;169369536
14-09-2021;17:34:03;1631651643;134474392
14-09-2021;17:33:33;1631651613;197431296
14-09-2021;17:32:33;1631651553;270721904
14-09-2021;17:32:03;1631651523;307081752
14-09-2021;17:31:03;1631651463;304272136
14-09-2021;17:30:33;1631651433;253087000
14-09-2021;17:30:03;1631651403;224069904
14-09-2021;17:29:33;1631651373;341419160
14-09-2021;17:28:33;1631651313;146483976
14-09-2021;17:28:03;1631651283;77151680
14-09-2021;17:27:33;1631651253;62826816
14-09-2021;17:27:03;1631651223;96897128
14-09-2021;17:26:33;1631651193;122548032
14-09-2021;17:26:03;1631651163;162889152
14-09-2021;17:25:33;1631651133;154255960
14-09-2021;17:24:33;1631651073;231937752
14-09-2021;17:24:03;1631651043;180643576
14-09-2021;17:23:33;1631651013;206515344
14-09-2021;17:23:03;1631650983;201007088
14-09-2021;17:22:03;1631650923;291998016
14-09-2021;17:21:33;1631650893;216856120
14-09-2021;17:21:03;1631650863;186406232
14-09-2021;17:20:33;1631650833;270947592
14-09-2021;17:19:33;1631650773;227297440
14-09-2021;17:19:03;1631650743;244373160
14-09-2021;17:18:33;1631650713;154496928
14-09-2021;17:18:03;1631650683;157228152
14-09-2021;17:17:33;1631650653;148357936
14-09-2021;17:16:33;1631650593;217132240
14-09-2021;17:16:03;1631650563;206160352
14-09-2021;17:15:33;1631650533;229659320
14-09-2021;17:15:03;1631650503;181716112
14-09-2021;17:14:03;1631650443;198060896
14-09-2021;17:13:33;1631650413;220287224
14-09-2021;17:13:03;1631650383;254572880
14-09-2021;17:12:33;1631650353;268967544
14-09-2021;17:11:33;1631650293;223431408
14-09-2021;17:11:03;1631650263;192785184
14-09-2021;17:10:33;1631650233;114494296
14-09-2021;17:10:03;1631650203;146607008
14-09-2021;17:09:33;1631650173;147380128
14-09-2021;17:09:03;1631650143;139490288
14-09-2021;17:08:03;1631650083;165189008
14-09-2021;17:07:33;1631650053;149103520
14-09-2021;17:07:03;1631650023;183758648
14-09-2021;17:06:33;1631649993;281263728
14-09-2021;17:06:03;1631649963;128065608
14-09-2021;17:05:34;1631649934;86501296
14-09-2021;17:05:03;1631649903;83242904
14-09-2021;17:04:03;1631649843;117859240
14-09-2021;17:03:34;1631649814;98226944
14-09-2021;17:03:03;1631649783;153961392
14-09-2021;17:02:33;1631649753;177302736
14-09-2021;17:02:03;1631649723;81052512
14-09-2021;17:01:33;1631649693;103028656
14-09-2021;17:01:03;1631649663;60438616
14-09-2021;17:00:34;1631649634;90665584
14-09-2021;17:00:03;1631649603;98804032
14-09-2021;16:59:03;1631649543;108240096
14-09-2021;16:58:33;1631649513;93493768
14-09-2021;16:58:03;1631649483;117393088
14-09-2021;16:57:33;1631649453;98466256
14-09-2021;16:57:03;1631649423;117845824
14-09-2021;16:56:33;1631649393;74957096
14-09-2021;16:56:03;1631649363;92572656
14-09-2021;16:55:33;1631649333;89091624
14-09-2021;16:55:03;1631649303;91694368
14-09-2021;16:54:33;1631649273;147905648
14-09-2021;16:53:33;1631649213;192759968
14-09-2021;16:53:03;1631649183;133971624
14-09-2021;16:52:33;1631649153;188900680
14-09-2021;16:52:03;1631649123;101823600
14-09-2021;16:51:33;1631649093;63149808
14-09-2021;16:51:03;1631649063;95090224
14-09-2021;16:50:33;1631649033;134201112
14-09-2021;16:50:03;1631649003;110714840
14-09-2021;16:49:03;1631648943;132691192
14-09-2021;16:48:33;1631648913;219353256
14-09-2021;16:48:03;1631648883;132043680
14-09-2021;16:47:33;1631648853;122783976
14-09-2021;16:47:03;1631648823;108569424
14-09-2021;16:46:33;1631648793;141024256
14-09-2021;16:46:03;1631648763;94711152
14-09-2021;16:45:03;1631648703;134308400
14-09-2021;16:44:33;1631648673;186644024
14-09-2021;16:44:03;1631648643;65233568
14-09-2021;16:43:33;1631648613;70748296
14-09-2021;16:43:03;1631648583;62377320
14-09-2021;16:42:33;1631648553;99942456
14-09-2021;16:42:03;1631648523;98933680
14-09-2021;16:41:33;1631648493;203108624
14-09-2021;16:41:03;1631648463;101280656
14-09-2021;16:40:03;1631648403;133337416
14-09-2021;16:39:33;1631648373;126238104
14-09-2021;16:39:03;1631648343;162255768
14-09-2021;16:38:33;1631648313;148323560
14-09-2021;16:38:03;1631648283;119612488
14-09-2021;16:37:33;1631648253;83179624
14-09-2021;16:37:03;1631648223;77750840
14-09-2021;16:36:33;1631648193;127089840
14-09-2021;16:36:03;1631648163;88829192
14-09-2021;16:35:03;1631648103;120491056
14-09-2021;16:34:33;1631648073;122437784
14-09-2021;16:34:03;1631648043;122521392
14-09-2021;16:33:33;1631648013;147953624
14-09-2021;16:33:03;1631647983;125710224
14-09-2021;16:32:33;1631647953;138129592
